,epoch,step,val_gen_loss,val_disc_global_loss,val_disc_local_loss,val_psnr,val_ssim
0,0,10129,0.7029308928436023,0.09498221856290943,0.06925323451965723,26.25593993141305,0.9097948426908472
1,1,10129,0.6627139213642975,0.09504106820571104,0.06915400341550312,27.0110558017833,0.9155174746800504
2,2,10129,0.6394620703803586,0.09500850928029796,0.0691897900383423,27.380122195101663,0.9194122163117344
3,3,10129,0.6284846227354971,0.09501601463773997,0.0691615013709073,27.463519822160066,0.9209490604485364
4,4,10129,0.6190650557483173,0.09500912665908924,0.06918431347767434,27.66431555950621,0.9223249317745348
5,5,10129,0.6200235602415561,0.09500947186294924,0.0691821572781786,,
6,6,10129,0.6194025658666793,0.09500526326018048,0.06917960701725442,,
7,7,10129,0.6190390319720661,0.09500879642699807,0.06918263141459327,27.659422199816365,0.9224572438713592
8,8,10129,0.6194862874450947,0.09500659616831378,0.06918046667451096,,
9,9,10129,0.6195233627815473,0.09500670088243626,0.06918301313144669,,
10,10,10129,0.6199894239495325,0.0950077400685298,0.06918356712514062,,
11,11,10129,0.6198999830436142,0.09500818603542456,0.0691812540589292,,
12,12,10129,0.6194990237514688,0.09500938367396446,0.06918043486869582,,
